지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm)
108,서울,2021-12-28,-4.1,,2.2,73.8,
108,서울,2021-12-29,.4,.2,2.6,72.9,.3
108,서울,2021-12-30,-3.9,0,3.3,48.5,
108,서울,2021-12-31,-6.7,,3.5,35.9,
108,서울,2022-01-01,-4.3,,1.5,46.3,
108,서울,2022-01-02,-1.3,.3,2.3,57.9,.5
108,서울,2022-01-03,-1.9,0,1.8,58.3,
108,서울,2022-01-04,-2.5,0,2.4,51.8,
108,서울,2022-01-05,-2.8,,1.7,47.6,
108,서울,2022-01-06,-2.2,,2.3,47.1,
108,서울,2022-01-07,-1.6,,1.5,47.1,
108,서울,2022-01-08,.3,0,1.7,64.3,
108,서울,2022-01-09,1.3,,1.7,71.5,
108,서울,2022-01-10,.5,.9,2,68.3,.9
108,서울,2022-01-11,-7.4,.2,4,55.5,1
108,서울,2022-01-12,-7.7,,2.4,47.8,.2
108,서울,2022-01-13,-6.4,,3.3,45.8,
108,서울,2022-01-14,-4.8,,1.7,41.8,
108,서울,2022-01-15,-1,0,1.9,48.3,
108,서울,2022-01-16,-2,0,3.3,54.5,
108,서울,2022-01-17,-5.8,.5,2.2,59.9,.8
108,서울,2022-01-18,-5.6,,2.3,47.9,.5
108,서울,2022-01-19,-5.3,1.7,2.1,72.3,3.5
108,서울,2022-01-20,-5,,1.8,63.5,2.4
108,서울,2022-01-21,-2.7,,1.8,55.6,
108,서울,2022-01-22,.3,,1.7,52.4,
108,서울,2022-01-23,2,,1.7,52.4,
108,서울,2022-01-24,4.6,,3.5,56,
108,서울,2022-01-25,2.8,.7,2.3,80,
108,서울,2022-01-26,1.3,,2.2,62.8,
108,서울,2022-01-27,-1.1,,2.1,50,
108,서울,2022-01-28,-2.7,,2.8,51.6,
108,서울,2022-01-29,-3.6,,2.4,48.9,
108,서울,2022-01-30,-2.8,,2.2,45.4,
108,서울,2022-01-31,-.7,1.2,1.9,59,1.8
108,서울,2022-02-01,-1.3,1.7,2.6,76.6,5
108,서울,2022-02-02,-3.4,,2.4,60.5,.5
108,서울,2022-02-03,-3.4,,2.4,52.4,
108,서울,2022-02-04,-5.2,0,3.1,53.3,
108,서울,2022-02-05,-6.6,,3.1,48.8,
108,서울,2022-02-06,-3.9,,2.5,50.3,
108,서울,2022-02-07,-2.5,,1.8,51.3,
108,서울,2022-02-08,-.1,,1.9,53.8,
108,서울,2022-02-09,1,,1.8,52.3,
108,서울,2022-02-10,1.4,,2.3,57.8,
108,서울,2022-02-11,2.9,,1.8,61.1,
108,서울,2022-02-12,4.8,,1.7,50.4,
108,서울,2022-02-13,4.8,,1.8,44.9,
108,서울,2022-02-14,2.5,1.7,2.9,68.3,
108,서울,2022-02-15,-4.7,0,3.8,58,
108,서울,2022-02-16,-7.3,0,3.7,50.4,
108,서울,2022-02-17,-6.2,,2.5,41.6,
108,서울,2022-02-18,-1.2,,2,40.4,
108,서울,2022-02-19,-1.7,.1,2.9,52.9,.1
108,서울,2022-02-20,-4.8,,4.1,41.1,
108,서울,2022-02-21,-3,.1,2.9,56.3,
108,서울,2022-02-22,-4.5,,3.2,43.3,
108,서울,2022-02-23,-5.6,,2.6,38.5,
108,서울,2022-02-24,-2.4,,2.2,52.4,
108,서울,2022-02-25,3,,2.3,77.5,
108,서울,2022-02-26,5.4,1.1,3.9,78.4,
108,서울,2022-02-27,3.7,,2.8,56.6,
108,서울,2022-02-28,6.8,,1.5,62.3,
108,서울,2022-03-01,5.8,2.3,2.3,70.5,
108,서울,2022-03-02,3.5,,2.7,55.9,
108,서울,2022-03-03,5.8,,2.1,52.9,
108,서울,2022-03-04,6.9,,3.6,60.5,
108,서울,2022-03-05,2.3,,4.3,38.4,
108,서울,2022-03-06,1.4,,2.6,39.5,
108,서울,2022-03-07,2.8,,2,45.8,
108,서울,2022-03-08,6,,2,56.1,
108,서울,2022-03-09,7.1,,1.9,69.6,
108,서울,2022-03-10,9.3,,2.1,51.4,
108,서울,2022-03-11,11.2,,1.9,58.4,
108,서울,2022-03-12,12.8,2.6,2.7,72.1,
108,서울,2022-03-13,11.7,42.1,1.9,95.5,
108,서울,2022-03-14,8.2,8.7,3.2,90.3,
108,서울,2022-03-15,7.2,,2,72.6,
108,서울,2022-03-16,10.3,,2.1,62.6,
108,서울,2022-03-17,10.7,1.2,2.7,62,
108,서울,2022-03-18,7.5,0,4.4,60.8,
108,서울,2022-03-19,3.4,14.6,3,84.6,.7
108,서울,2022-03-20,5.4,0,2.6,66.1,
108,서울,2022-03-21,5,,2.4,49.5,
108,서울,2022-03-22,7.1,,2.2,48.9,
108,서울,2022-03-23,6.2,,2.3,56.8,
108,서울,2022-03-24,8.2,,1.8,70.6,
108,서울,2022-03-25,12,10.9,2.6,70,
108,서울,2022-03-26,11.8,19.8,2.9,80.9,
108,서울,2022-03-27,8.1,,3,49.1,
108,서울,2022-03-28,8.2,,2.1,35.6,
108,서울,2022-03-29,9.7,,2.1,52.9,
108,서울,2022-03-30,10.8,.4,1.8,76.5,
108,서울,2022-03-31,10.9,,2.5,63.5,
108,서울,2022-04-01,9.2,,2.6,50.5,
108,서울,2022-04-02,8.2,,2.3,55,
108,서울,2022-04-03,9.6,,2.1,55,
108,서울,2022-04-04,10.3,,2.3,50.3,
108,서울,2022-04-05,10.3,,2.4,41.1,
108,서울,2022-04-06,11.7,,2.5,52.3,
108,서울,2022-04-07,10.9,,3.3,43.5,
108,서울,2022-04-08,12.9,,2.1,49,
108,서울,2022-04-09,17.8,.5,3,43.8,
108,서울,2022-04-10,18.2,,2,46,
108,서울,2022-04-11,19.6,,2.4,60.4,
108,서울,2022-04-12,19.3,.5,2.8,77.9,
108,서울,2022-04-13,13.1,1.3,4.4,69.3,
108,서울,2022-04-14,13.2,,4,53.4,
108,서울,2022-04-15,13.3,,3,46.8,
108,서울,2022-04-16,13.2,,2.5,48.5,
108,서울,2022-04-17,14,,2.3,53.8,
108,서울,2022-04-18,15.2,,2.4,46.1,
108,서울,2022-04-19,15.2,,2.4,51.9,
108,서울,2022-04-20,15.7,,2.3,48.8,
108,서울,2022-04-21,16.3,,2.8,48.4,
108,서울,2022-04-22,15,,3.5,76.8,
108,서울,2022-04-23,17.7,,1.7,57.3,
108,서울,2022-04-24,18.5,.3,2.3,72.5,
108,서울,2022-04-25,20,1.3,1.4,80.5,
108,서울,2022-04-26,21.9,1,3.1,57.9,
108,서울,2022-04-27,17.7,,2.7,31.5,
108,서울,2022-04-28,18.2,0,2.6,44,
108,서울,2022-04-29,13.4,15.5,3.4,70.6,
108,서울,2022-04-30,13,,2.9,68,
108,서울,2022-05-01,13.4,,3.1,54.8,
108,서울,2022-05-02,14.2,,2.4,56.5,
108,서울,2022-05-03,14.8,,2.5,45.9,
108,서울,2022-05-04,17.8,,2.7,43.3,
108,서울,2022-05-05,18.9,,2.2,48.1,
108,서울,2022-05-06,19.6,,2.5,67.1,
108,서울,2022-05-07,18.4,.5,3,52.4,
108,서울,2022-05-08,15.3,2,2.8,51.8,
108,서울,2022-05-09,17.9,,2.2,56.4,
108,서울,2022-05-10,19.9,0,2.2,39,
108,서울,2022-05-11,19.7,0,2.4,50.4,
108,서울,2022-05-12,20.9,,1.9,51.5,
108,서울,2022-05-13,19.4,,2.2,45.8,
108,서울,2022-05-14,15.7,,3.3,45.5,
108,서울,2022-05-15,16.2,,3.2,39.8,
108,서울,2022-05-16,17.3,,2.8,56.3,
108,서울,2022-05-17,20,,2.4,60.1,
108,서울,2022-05-18,20,1.5,2.9,59.4,
108,서울,2022-05-19,19.9,,3,53.6,
108,서울,2022-05-20,20.6,,2.3,52.8,
108,서울,2022-05-21,20.1,,2.5,70.8,
108,서울,2022-05-22,20.3,,2.5,70.9,
108,서울,2022-05-23,23,,2.3,63.5,
108,서울,2022-05-24,22.9,,2.1,56.8,
108,서울,2022-05-25,21,3.5,2.6,66.6,
108,서울,2022-05-26,18.7,0,3.7,59.9,
108,서울,2022-05-27,20,0,3.3,62.5,
108,서울,2022-05-28,22.3,,2.8,54.1,
108,서울,2022-05-29,23.1,,2.3,66.4,
108,서울,2022-05-30,20.8,0,2.5,71,
108,서울,2022-05-31,20.7,,2.5,42.4,
