구분,고급휘발유,보통휘발유,자동차용경유
2021년08월09일,1881.46,1647.32,1442.25
2021년08월10일,1881.55,1647.35,1442.23
2021년08월11일,1881.54,1647.32,1442.14
2021년08월12일,1881.30,1647.34,1442.12
2021년08월13일,1881.37,1647.35,1442.11
2021년08월14일,1881.48,1647.28,1441.95
2021년08월15일,1881.51,1647.25,1441.87
2021년08월16일,1881.49,1647.35,1442.02
2021년08월17일,1881.60,1647.22,1441.90
2021년08월18일,1881.23,1647.00,1441.60
2021년08월19일,1880.85,1646.40,1441.01
2021년08월20일,1880.48,1645.98,1440.55
2021년08월21일,1880.15,1645.55,1439.96
2021년08월22일,1880.19,1645.36,1439.86
2021년08월23일,1879.87,1645.14,1439.71
2021년08월24일,1879.82,1644.81,1439.35
2021년08월25일,1879.69,1644.52,1439.06
